conversation,coder,turn_id,speaker,start,stop,topic_change,topic_label
1,1,0,5cf6231511ba980001e3aa3d,0.44,87.26,1,zoom issues
1,1,1,5f49553539747213d0e5f1ae,88.04,103.86,,
1,1,2,5cf6231511ba980001e3aa3d,104.24,109.36,,
1,1,3,5f49553539747213d0e5f1ae,109.74,112.2,,
1,1,4,5cf6231511ba980001e3aa3d,111.6,111.96,,
1,1,5,5f49553539747213d0e5f1ae,112.21,112.74,,
1,1,6,5cf6231511ba980001e3aa3d,112.44,112.82,,
1,1,7,5f49553539747213d0e5f1ae,112.74,113.05,,
1,1,8,5cf6231511ba980001e3aa3d,112.82,113.43,,
1,1,9,5f49553539747213d0e5f1ae,113.05,113.46,,
1,1,10,5cf6231511ba980001e3aa3d,113.44,114.72,,
1,1,11,5f49553539747213d0e5f1ae,114.24,121.96,,
1,1,12,5cf6231511ba980001e3aa3d,120.94,129.95,1,Names
1,1,13,5f49553539747213d0e5f1ae,129.84,130,,
1,1,14,5cf6231511ba980001e3aa3d,129.95,130.27,,
1,1,15,5f49553539747213d0e5f1ae,130,130.76,,
1,1,16,5cf6231511ba980001e3aa3d,130.28,134.66,,
1,1,17,5f49553539747213d0e5f1ae,135.77,141.46,1,rules
1,1,18,5cf6231511ba980001e3aa3d,140.84,145.76,1,questions abt quarantine
1,1,19,5f49553539747213d0e5f1ae,146.94,152.05,,
1,1,20,5cf6231511ba980001e3aa3d,151.54,152.87,,
1,1,21,5f49553539747213d0e5f1ae,152.06,153.26,,
1,1,22,5cf6231511ba980001e3aa3d,152.87,154.75,,
1,1,23,5f49553539747213d0e5f1ae,153.84,169.39,,
1,1,24,5cf6231511ba980001e3aa3d,169.24,169.56,,
1,1,25,5f49553539747213d0e5f1ae,169.39,172.81,,
1,1,26,5cf6231511ba980001e3aa3d,172.74,172.88,,
1,1,27,5f49553539747213d0e5f1ae,172.81,174.6,,
1,1,28,5cf6231511ba980001e3aa3d,174.57,174.75,,
1,1,29,5f49553539747213d0e5f1ae,174.6,174.86,,
1,1,30,5cf6231511ba980001e3aa3d,174.75,175.35,,
1,1,31,5f49553539747213d0e5f1ae,175.84,176.25,,
1,1,32,5cf6231511ba980001e3aa3d,175.94,176.86,,
1,1,33,5f49553539747213d0e5f1ae,176.25,176.76,,
1,1,34,5cf6231511ba980001e3aa3d,177.34,213.55,,
1,1,35,5f49553539747213d0e5f1ae,214.34,234.71,,
1,1,36,5cf6231511ba980001e3aa3d,234.55,234.97,,
1,1,37,5f49553539747213d0e5f1ae,234.77,234.97,,
1,1,38,5cf6231511ba980001e3aa3d,234.97,235.04,,
1,1,39,5f49553539747213d0e5f1ae,234.97,235.22,,
1,1,40,5cf6231511ba980001e3aa3d,235.04,235.25,,
1,1,41,5f49553539747213d0e5f1ae,235.23,237.34,,
1,1,42,5cf6231511ba980001e3aa3d,237.34,237.45,,
1,1,43,5f49553539747213d0e5f1ae,237.34,237.45,,
1,1,44,5cf6231511ba980001e3aa3d,237.45,237.76,,
1,1,45,5f49553539747213d0e5f1ae,237.45,240.34,,
1,1,46,5cf6231511ba980001e3aa3d,240.14,240.35,,
1,1,47,5f49553539747213d0e5f1ae,240.34,240.46,,
1,1,48,5cf6231511ba980001e3aa3d,240.35,240.76,,
1,1,49,5f49553539747213d0e5f1ae,240.46,240.66,,
1,1,50,5cf6231511ba980001e3aa3d,241.54,244.15,1,questions abt lab work
1,1,51,5f49553539747213d0e5f1ae,244.94,255.05,1,med schho
1,1,52,5cf6231511ba980001e3aa3d,255.04,274.89,,
1,1,53,5f49553539747213d0e5f1ae,274.84,275.35,,
1,1,54,5cf6231511ba980001e3aa3d,274.89,278.74,1,price of education
1,1,55,5f49553539747213d0e5f1ae,277.54,285.89,,
1,1,56,5cf6231511ba980001e3aa3d,285.84,286.46,,
1,1,57,5f49553539747213d0e5f1ae,285.89,289.83,,
1,1,58,5cf6231511ba980001e3aa3d,289.74,290.73,,
1,1,59,5f49553539747213d0e5f1ae,289.83,290.35,,
1,1,60,5cf6231511ba980001e3aa3d,290.74,300.06,1,networking/online
1,1,61,5f49553539747213d0e5f1ae,300.84,316.29,,
1,1,62,5cf6231511ba980001e3aa3d,315.44,316.52,,
1,1,63,5f49553539747213d0e5f1ae,316.3,316.59,,
1,1,64,5cf6231511ba980001e3aa3d,316.52,316.82,,
1,1,65,5f49553539747213d0e5f1ae,316.59,318.05,,
1,1,66,5cf6231511ba980001e3aa3d,317.94,318.44,,
1,1,67,5f49553539747213d0e5f1ae,318.05,324.35,,
1,1,68,5cf6231511ba980001e3aa3d,324.44,359.15,,
1,1,69,5f49553539747213d0e5f1ae,358.94,360.57,,
1,1,70,5cf6231511ba980001e3aa3d,360.34,361.56,,
1,1,71,5f49553539747213d0e5f1ae,360.57,375.35,,
1,1,72,5cf6231511ba980001e3aa3d,374.68,375.92,,
1,1,73,5f49553539747213d0e5f1ae,375.35,376.16,,
1,1,74,5cf6231511ba980001e3aa3d,375.93,376.95,,
1,1,75,5f49553539747213d0e5f1ae,376.44,377.51,,
1,1,76,5cf6231511ba980001e3aa3d,376.95,377.76,,
1,1,77,5f49553539747213d0e5f1ae,377.52,381.75,,
1,1,78,5cf6231511ba980001e3aa3d,382.44,383.85,,
1,1,79,5f49553539747213d0e5f1ae,383.74,383.89,,
1,1,80,5cf6231511ba980001e3aa3d,383.85,384.05,,
1,1,81,5f49553539747213d0e5f1ae,383.89,384.2,,
1,1,82,5cf6231511ba980001e3aa3d,384.05,384.34,,
1,1,83,5f49553539747213d0e5f1ae,384.2,384.45,,
1,1,84,5cf6231511ba980001e3aa3d,384.34,384.86,,
1,1,85,5f49553539747213d0e5f1ae,384.45,385.06,1,location
1,1,86,5cf6231511ba980001e3aa3d,385.44,398.06,,
1,1,87,5f49553539747213d0e5f1ae,399.24,419.36,,
1,1,88,5cf6231511ba980001e3aa3d,418.94,429.46,1,national parks
1,1,89,5f49553539747213d0e5f1ae,430.14,437.06,,
1,1,90,5cf6231511ba980001e3aa3d,436.54,465.83,,
1,1,91,5f49553539747213d0e5f1ae,465.64,466.26,,
1,1,92,5cf6231511ba980001e3aa3d,465.83,472.86,,
1,1,93,5f49553539747213d0e5f1ae,472.57,480.06,,
1,1,94,5cf6231511ba980001e3aa3d,479.74,479.95,,
1,1,95,5f49553539747213d0e5f1ae,480.07,481.3,,
1,1,96,5cf6231511ba980001e3aa3d,481.16,481.31,,
1,1,97,5f49553539747213d0e5f1ae,481.3,481.86,,
1,1,98,5cf6231511ba980001e3aa3d,481.31,498.41,,
1,1,99,5f49553539747213d0e5f1ae,498.34,499.06,,
1,1,100,5cf6231511ba980001e3aa3d,498.41,510.25,,
1,1,101,5f49553539747213d0e5f1ae,510.04,521.76,1,covid
1,1,102,5cf6231511ba980001e3aa3d,521.24,550.9,,
1,1,103,5f49553539747213d0e5f1ae,550.74,551.08,,
1,1,104,5cf6231511ba980001e3aa3d,550.9,551.1,,
1,1,105,5f49553539747213d0e5f1ae,551.08,551.25,,
1,1,106,5cf6231511ba980001e3aa3d,551.1,564.75,,
1,1,107,5f49553539747213d0e5f1ae,563.94,564.45,,
1,1,108,5cf6231511ba980001e3aa3d,564.76,580.02,1,volunteer
1,1,109,5f49553539747213d0e5f1ae,579.94,580.36,,
1,1,110,5cf6231511ba980001e3aa3d,580.02,580.25,,
1,1,111,5f49553539747213d0e5f1ae,580.36,581.35,,
1,1,112,5cf6231511ba980001e3aa3d,581.54,705.39,,
1,1,113,5f49553539747213d0e5f1ae,705.38,705.71,,
1,1,114,5cf6231511ba980001e3aa3d,705.39,705.66,,
1,1,115,5f49553539747213d0e5f1ae,705.71,712.31,,
1,1,116,5cf6231511ba980001e3aa3d,712.14,761.32,,
1,1,117,5f49553539747213d0e5f1ae,761.24,761.75,,
1,1,118,5cf6231511ba980001e3aa3d,761.32,764.06,1,takeaway 
1,1,119,5f49553539747213d0e5f1ae,764.54,795.98,,
1,1,120,5cf6231511ba980001e3aa3d,795.64,795.96,,
1,1,121,5f49553539747213d0e5f1ae,795.98,802.27,,
1,1,122,5cf6231511ba980001e3aa3d,802.24,802.45,,
1,1,123,5f49553539747213d0e5f1ae,802.27,802.58,,
1,1,124,5cf6231511ba980001e3aa3d,802.45,802.67,,
1,1,125,5f49553539747213d0e5f1ae,802.58,802.72,,
1,1,126,5cf6231511ba980001e3aa3d,802.67,805.7,,
1,1,127,5f49553539747213d0e5f1ae,805.64,806.44,,
1,1,128,5cf6231511ba980001e3aa3d,805.71,806.34,,
1,1,129,5f49553539747213d0e5f1ae,806.84,809.7,,
1,1,130,5cf6231511ba980001e3aa3d,809.64,809.8,,
1,1,131,5f49553539747213d0e5f1ae,809.7,809.93,,
1,1,132,5cf6231511ba980001e3aa3d,809.8,810.15,,
1,1,133,5f49553539747213d0e5f1ae,809.93,823.84,,
1,1,134,5cf6231511ba980001e3aa3d,823.64,823.93,,
1,1,135,5f49553539747213d0e5f1ae,823.84,824,,
1,1,136,5cf6231511ba980001e3aa3d,823.93,824.15,,
1,1,137,5f49553539747213d0e5f1ae,824,824.86,,
1,1,138,5cf6231511ba980001e3aa3d,824.15,826.36,1,trying to transition
1,1,139,5f49553539747213d0e5f1ae,826.34,838.79,,
1,1,140,5cf6231511ba980001e3aa3d,838.74,839.39,,
1,1,141,5f49553539747213d0e5f1ae,838.79,839.15,,
1,1,142,5cf6231511ba980001e3aa3d,839.4,840.14,,
